,Lead.author.contact.details,Study.ID.1,Title.1,total_eval_score,Is.this.a.resilience.potential.assessment.,Sources.for.variable.indicator.selection..groups.,Source.of.methods.for.calculating.index,Grouping,Type,,,,Grouping,Type
39,Jeff Maynard,JM_2017_Guam,Coral reef resilience to climate change in Guam in 2016,6,Yes - very confident,Maynard et al. 2015; McClanahan et al. 2012,Maynard et al. 2015,Maynard,Resilience potential,,,,,
40,Jeff Maynard and Eric Conklin,EC_2016_Hawaii,Relative resilience potential and bleaching severity in the West Hawai’i Habitat Focus Area in 2015,6,Yes - very confident,Maynard et al. 2015; McClanahan et al. 2012,Maynard et al. 2015,Maynard,Resilience potential,,,,,
41,David Obura,DO_2011_Madagascar,A Rapid Marine Biodiversity Assessment of the Coral Reefs of Northeast Madagascar,5,Yes - very confident,Obura and Grimsditch 2009,Obura and Grimsditch 2009,Obura & Grimsditch,Resilience potential,,,,,
42,David Obura,DO_2009_NosyHara,"Coral Reef Resilience Assessement of the Nosy Hara Marine Protected Area, Northwest Madagascar",6,Yes - very confident,Obura and Grimsditch 2009,Obura and Grimsditch 2009,Obura & Grimsditch,Resilience potential,,,,,
43,Rohan Arthur,RA_2014_India,Coral reef resilience: Recovery and resistance across the Lakshadweep Archipelago,6,Yes - very confident,Obura and Grimsditch 2009,Obura and Grimsditch 2009,Obura & Grimsditch,Resilience potential,,,,,
44,Jeff Maynard,JM_2014_USVI,"Assessing the relative resilience of the coral reefs of St. Croix, USVI",6,Yes - very confident,McClanahan et al. 2012,Maynard and McLeod - HOW-TO-GUIDE FOR CONDUCTING RESILIENCE ASSESSMENTS,Maynard & McLeod,Resilience potential,,,,,
45,Gabriel Grimsditch,GG_2011_Bonaire,"Coral Reef Resilience Assessment of the Bonaire National Marine Park, Netherlands Antilles",6,Yes - very confident,Obura and Grimsditch 2009,Obura and Grimsditch 2009,Obura & Grimsditch,Resilience potential,,,,,
46,Gwilym Rowlands,GR_2012_SaudiArabia,Satellite imaging coral reef resilience at regional scale. A case-study from Saudi Arabia,5,Yes - very confident,Obura and Grimsditch 2009,Obura and Grimsditch 2009,Obura & Grimsditch,Resilience potential,,,,,
47,Jeff Maynard,JM_2017_Florida,Coral reef resilience to climate change in the Florida Reef Tract,6,Yes - very confident,Maynard et al. 2015; McClanahan et al. 2012,Maynard et al. 2015,Maynard,Resilience potential,,,,,
48,Peter Mumby,PM_2014_Caribbean,Operationalizing the Resilience of Coral Reefs in an Era of Climate Change,5,Yes - fairly confident,Unknown/Unclear,Mumby et al. 2007,Mumby,Resilience potential,,,,,
49,Mark Ladd,CL_2013_Mexico,Practical applications of monitoring results to improve managing for coral reef resilience: a case study in the Mexican Caribbean,6,Yes - very confident,Maynard et al. 2010,Maynard et al. 2010,Maynard 2010,Resilience potential,,,,,
50,Melita Samoilys,MS_2016_Dijbouti,Seascape Management Plan for the Gulf of Tadjourah and Ghoubet-el-Kharab in the Republic of Djibouti,4,Definitely not,Obura and Grimsditch 2009,Obura and Grimsditch 2009,Obura & Grimsditch,Other,together with cowburn et al,,,,
51,Andrew Bruckner,AB_2010_Bonaire,An Assessment of the Health and Resilience of Bonaire’s Coral Reefs,3,Yes - very confident,Obura and Grimsditch 2009,Unknown,Other,Resilience potential,,likely Obura & Grimsditch 2009,,,
52,Jill Harris,JH_2017_Indonesia,Planning for the future: Incorporating global and local data to prioritize coral reef conservation,5,Yes - very confident,Maynard et al. 2015; McClanahan et al. 2012; Multiple,Maynard et al. 2015,Maynard,Resilience potential,,,,,
53,Schumacher,BS_2018_AmericanSamoa,"Identifying coral reef resilience potential in Tutuila, American Samoa based on NOAA coral reef monitoring data ",6,Yes - very confident,McClanahan et al. 2012,"Maynard et al., 2012; Maynard et al., 2015; PIFSC, 2015; Maynard et al., 2016",Maynard,Resilience potential,,,,,
54,Andrew Bruckner,AB_2011_SaudiArabia,Habitat Mapping and Characterization of Coral Reefs of the Saudia Arabian Red Sea: 2006‐2009,5,Yes - very confident,Obura and Grimsditch 2009,Obura and Grimsditch 2009,Obura & Grimsditch,Resilience potential,,,,,
55,Madalena Mesquitela Pereira Cabral,MC_2014_Thailand,"Resilience-based assessment for targeting coral reef management strategies in Koh Tao, Thailand",6,Yes - very confident,Obura and Grimsditch 2009,Obura and Grismditch 2009; Maynard et al. 2012,Obura and Grismditch; Maynard et al. 2012,Resilience potential,,,,,
56,Rod Salm,RS_2011_Palau,Resilience Assessment Palau (29 March -7 April 2011),5,Yes - very confident,Maynard et al. 2010; Other,Maynard et al. 2010; Salm et al. 2011,Maynard 2010; Salm,Resilience potential,,,,,
57,Melita Samoilys,MS_2011_Metundo,"A rapid assessment of coral reefs at Metundo Island, Cabo Delgado, northern Mozambique",2,Unsure,Obura and Grimsditch 2009,N/A,Other,Unsure,,,,,
58,Joseph Maina,JM_2016_PNG,Integrating social–ecological vulnerability assessments with climate forecasts to improve local climate adaptation planning for coral reef fisheries in Papua New Guinea,3,Unsure,Unknown/Unclear,Zadeh 1965,Other,Unsure,,,,,
59,Balakrishnan Manikandan,BM_2017_PalkBay,Resilience potential of an Indian Ocean reef: an assessment through coral recruitment pattern and survivability of juvenile corals to recurrent stress events,1,Unsure,Other,,Other,Unsure,,,,,
60,Norievill B. España,NE_2015_TalimBay,"Resilience to thermal stress of coral communities in Talim Bay, Lian, Batangas",6,Yes - very confident,Obura and Grimsditch 2009,Obura and Grimsditch 2009,Obura & Grimsditch,Resilience potential,,,,,
61,Anders Knudby,AK_2013_Fiji,Mapping Coral Reef Resilience Indicators Using Field and Remotely Sensed Data,4,Yes - fairly confident,McClanahan et al. 2012,Other,Other,Resilience potential,,,,,
62,Denis Macharia,DM_2016_EastAfrica,Mapping Factors That Contribute to Coral Reef Resilience Using In situ and Satellite Data in East Africa,6,Yes - very confident,McClanahan et al. 2012; Obura and Grimsditch 2009,Obura and Grimsditch 2009,Obura & Grimsditch,Resilience potential,,exclude,,,
63,Lincoln Rehm,LR_2014_Micronesia,Reef Resilience Assessment in the Federated States of Micronesia,6,Yes - very confident,Unknown/Unclear,Unknown,Other,Resilience potential,,,,,
64,Imam Bachtiar,IB_2019_Indonesia,Practical Resilience Index for Coral Reef Assessment,6,Yes - very confident,Multiple,Orwin and Wardle (2004) ,Other,Resilience potential,,,,,
65,David Obura,DO_2014_Myanmar,"CORAL DIVERSITY AND REEF RESILIENCE IN THE NORTHERN MYEIK ARCHIPELAGO, MYANMAR",6,Yes - very confident,Obura and Grimsditch 2009,Obura & Grimsditch 2009,Obura & Grimsditch,Resilience potential,,,,,
66,Jeff Maynard,JM_2015_CNMI,Assessing relative resilience potential of coral reefs to inform management,6,Yes - very confident,McClanahan et al. 2012,Maynard et al. 2010; McClanahan et al. 2012,Maynard,Resilience potential,,,,,
67,B Cowburn,BC_2018_Comoros,"The current status of coral reefs and their vulnerability to climate change and multiple human stresses in the Comoros Archipelago, Western Indian Ocean",4,Yes - very confident,McClanahan et al. 2012; Obura and Grimsditch 2009; Multiple,Cinner et al. 2012,Cowburn,Resilience potential,,,,,
68,Juliet Karisa,JK_2009_Kenya,CORAL REEF RESILIENCE ASSESSMENTS IN KENYA,6,Yes - very confident,Obura and Grimsditch 2009,Obura & Grimsditch 2009,Obura & Grimsditch,Resilience potential,,,,,
69,David Obura,DO_2008_Amirantes,"Coral reef baseline surveys and long term monitoring of Alphonse and Desroches, Amirantes Group, Seychelles",5,Yes - very confident,Obura and Grimsditch 2009,Obura and Grimsditch 2009 ,Obura & Grimsditch,Resilience potential,,,,,
70,Gregory Stone,GS_2009_PhoenixIsl,Phoenix Islands Protected Area Assessment 2009 Preliminary Expedition Report,2,Yes - very confident,Obura and Grimsditch 2009,Obura and Grimsditch 2009,Obura & Grimsditch,Resilience potential,,,,,
,,,,,,,,,,,,,,
,,,Development timeline of assessments,,,,,,,,,,,
,,,Mumby,2007,model,,,,,,,,,
,,,Obura & Grimsditch ,2009,manual,,,,,,,,,
,,,Maynard et al.,2010,GBR,"qualitative - expert surveys. ""applied a resilience assessment framework in the southern Great Barrier Reef using a sub-set (30) of the indicators recommended within the Obura and Grimsditch (2009) report.""",,,,,,,,
,,,Rod Salm,2010/11,various,"2010 (Moz) - Unknown, 2011 (Wakatobi, Palau) - Maynard et al. 2010 then Maynard + Salm ",,,,,,,,
,,,Maynard et al. 2012,2012,Indonesia,followed Obura & Grimsditch but reduced indicators. ,,,,,,,,
,,,McClanahan et al. 2012,2012,,no refs to other 2012 assessments,,,,,,,,
,,,Maynard & McLeod,2012,manual,includes refs to McClanahan 2012 which Maynard et al. 2012 does not,,,,,,,,
,,,Maynard et al.,"2015, 17",manual,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,"Key things: indicator selection, indicator normalisation, aggregation methods, management prioritisation",,,,,,,,,,,
