370,pavement with sand channels
371,percent cover of soft corals
372,percentage of live coral cover
373,"percentage of thermally sensitive
corals"
374,ph
375,photic submersed ridges
376,physical damage
377,physical human impacts
378,physical impacts
379,physical shading
380,piscivore abundance
381,piscivore fish abundance
382,piscivores
383,planktivore abundance
384,planktivore biomass
385,point sources of pollution
386,pollution
387,pollution (chemical)
388,pollution (solid)
389,ponding/ pooling
390,ponding/pooling
391,"potential for upwelling
coral cover"
392,potential gain in fish biomass
393,potential importance for supplying larvae to the wider gbr
394,predation
395,predator abundance
396,predator/coralivore rates
397,predators
398,previous exposure to thermal stress events
399,proportion of bleaching resistant species
400,proportion of stress-tolerant coral species cover
401,proximity to deep water
402,proximity to deeper cooler water
403,"proximity, connectivity and size of associated ecosystems"
404,range of coral size classes
405,range of size classes of table acropora colonies
406,recent mortality
407,recovery from earlier impacts (old)
408,recovery old acropora
409,recovery old pocillopora
410,recreational ground
411,recruit density
412,recruitment
413,recruitment rate
414,recruitment rates
415,reduction in light stress
416,reef builder ratio
417,reef fish abundance and diversity
418,reef fragmentation
419,"reef habitat (outer habitat, other)"
420,reef slope
421,regrowth
422,regrowth and reorientation
423,regrowth over dead portions of the coral colony
424,reorientation
425,reorientation in the plane of growth for toppled or overturned colonies
426,resistant coral species
427,resistant corals
428,resistant species
429,resistant/tolerant corals
430,resources
431,rock
432,rock and other benthic components
433,rubble
434,rubble cover
435,rugosity
436,salinity
437,sand
438,sand cover
439,sand/silt cover
440,scattered coral/rock
441,scraper abundance
442,scraper biomass
443,scrapers
444,sea-surface temperature anomalies
445,sea surface temperature variability
446,sea surface temperature variation
447,sediment
448,sediment layer
449,sediment texture
450,sediment texture and sediment layer thickness
451,sediment type and thickness
452,sedimentation
453,sedimentation/turbidity
454,self-�‐seeding
455,self-seeding
456,self seeding
457,shading
458,size/age distribution
459,slope
460,soft coral
461,soft coral cover
462,soft substrate
463,solid pollution
464,solid substrate (% cover)
465,source reef
466,space competitors
467,sponge cover
468,spur and groove
469,sst
470,sst anomaly
471,sst variability
472,storm damage
473,stress-resistant coral species
474,stress-tolerant coral taxa
475,structural complexity (relief)
476,substrate availability
477,substrate morphology
478,substrate or coral overgrowth by macroalgae
479,substrate suitability
480,substrate surface features
481,suitable substrate (rubble
482,suitable substrate available
483,survival of past bleaching
484,taxonomic diversity of corals
485,temperature
486,temperature range
487,temperature skewness
488,temperature variability
489,the active growth margin of branching and table acropora corals
490,the active growth margin of branching and table corals
491,the extent that corals at the site are exposed at low tide
492,the extent that external land features or weather patterns reduce light and temperature stress
493,the extent that features in the water reduce light stress
494,the extent that mixing at the site is cooling temperatures
495,the extent that topographic complexity at the site creates diverse light and temperature micro-environments
496,thermal stress index
497,thermal warming above critical bleaching threshold
498,tidal mixing
499,tides
500,topographic complexity
501,topographic complexity-macro
502,topographic complexity-micro
503,topographic complexity - macro
504,topographic complexity - micro
505,topographical complexity
506,topography of the reef
507,total coral density
508,total fish biomass
509,total lesion repair
510,total regrowth
511,total reorientation
512,tourism
513,traditional resource management
514,transport
515,turbdity (visibility)
516,turbidity
517,turbidity (vis)
518,turbidity (visibility)
519,turbidity/ sedimentation
520,turf algae
521,turf algae cover
522,turf algae volume
523,turf algal cover
524,turf cover
525,turf height
526,turf index
527,turf with sediment
528,typhoon exposure
529,typhoons
530,unclear (possibly n/a in model approach)
531,unconsolidated substrate
532,unknown
533,unknown (no details provided)
534,unknown (not detailed)
535,unknown (not stated)
536,upwelling
537,upwelling intensity
538,urchin abundance
539,urchin density
540,urchins
541,"uss= unsuitable settlement substrate, sum of sand and silt covers"
542,uv light
543,variability of water temperature
544,visibility
545,water depth - depth variability index (dvi)
546,water mixing
547,water movement
548,wave energy/ exposure
549,wave energy/exposure
550,wave exposure
551,weekly temperature variability
552,wind
553,wind speed
554,zoanthid cover
555,evidence of recover potential
556,dominant size classes
557,"estimates of hard corals
"
558,estimates of soft corals
559,largest corals)
560,median coral colony sizes
561,anthropogenic influences - overfishing  
562,connectivity between sites        
563,herbivores (unknown)                  
564,herbivorous fish abundance
565,herbivorous fish functional group abundance
566,potential for upwelling
567,size class distributions
